Rndrng_Prvdr_State_Abrvtn,APC_Cd,APC_Desc,Bene_Cnt,Avg_Mdcr_Pymt_Amt,Median_Income,%_Bachelor_or_Higher,%_Insured,%_Population_60_plus
AK,5491,Level 1 Intraocular Procedures,30.0,1890.48,95665.0,32.8,89.0,21.31
AK,5491,Level 1 Intraocular Procedures,61.0,2024.7,95665.0,32.8,89.0,21.31
AK,5491,Level 1 Intraocular Procedures,180.0,1884.05866459626,95665.0,32.8,89.0,21.31
AK,5491,Level 1 Intraocular Procedures,72.0,1089.18016949152,95665.0,32.8,89.0,21.31
AL,5491,Level 1 Intraocular Procedures,36.0,1491.57,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,48.0,1437.92999999999,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,57.0,1540.02999999999,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,951.0,1466.59130555558,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,87.0,1446.0444295302,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,83.0,1564.02535433071,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,302.0,1544.30279069769,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,126.0,1482.78897959183,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,55.0,1439.67441860464,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,16.0,1451.66809523809,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,40.0,1256.17836363636,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,111.0,1481.82541436463,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,12.0,1506.79999999999,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,52.0,1539.43325581395,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,145.0,1427.12683486238,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,14.0,1307.20909090909,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,46.0,1549.23896103896,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,85.0,627.909448818897,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,26.0,1488.03333333333,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,129.0,1407.96714285713,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,173.0,1453.53341296927,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,147.0,1392.47151260504,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,31.0,1410.14933333333,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,72.0,561.579789473683,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,31.0,1430.79461538461,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,20.0,1478.42879999999,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,489.0,1456.7882038835,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,20.0,1331.304375,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,28.0,1515.54846153846,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,82.0,1375.03992805755,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,39.0,1496.02461538461,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,95.0,1450.55672839506,66659.0,29.9,91.8,25.07
AL,5491,Level 1 Intraocular Procedures,65.0,1493.10181818181,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,34.0,2720.81763157894,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,835.0,2700.83530839233,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,18.0,2708.62777777777,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,104.0,2537.71991150443,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,26.0,2819.04866666666,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,34.0,2608.39609756097,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,74.0,2716.53233644859,66659.0,29.9,91.8,25.07
AL,5492,Level 2 Intraocular Procedures,40.0,2748.2475,66659.0,29.9,91.8,25.07
AL,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",399.0,1459.16256038646,66659.0,29.9,91.8,25.07
AL,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",66.0,1467.13420289855,66659.0,29.9,91.8,25.07
AL,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",30.0,1438.213,66659.0,29.9,91.8,25.07
AL,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",14.0,1339.52714285714,66659.0,29.9,91.8,25.07
AL,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",57.0,2353.48859649123,66659.0,29.9,91.8,25.07
AL,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",12.0,2466.53,66659.0,29.9,91.8,25.07
AR,5491,Level 1 Intraocular Procedures,69.0,1572.61132231405,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,56.0,1564.80666666666,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,260.0,1468.7099222798,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,419.0,1525.44418429004,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,24.0,1503.6323076923,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,73.0,1533.79007407407,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,98.0,1545.6590647482,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,60.0,1493.53749999999,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,96.0,1563.42244318182,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,427.0,1511.57032967034,62106.0,27.1,90.6,24.69
AR,5491,Level 1 Intraocular Procedures,17.0,1468.78695652173,62106.0,27.1,90.6,24.69
AR,5492,Level 2 Intraocular Procedures,14.0,2854.16999999999,62106.0,27.1,90.6,24.69
AR,5492,Level 2 Intraocular Procedures,95.0,2735.82045045045,62106.0,27.1,90.6,24.69
AR,5492,Level 2 Intraocular Procedures,46.0,2846.77021276595,62106.0,27.1,90.6,24.69
AR,5492,Level 2 Intraocular Procedures,12.0,2818.26999999999,62106.0,27.1,90.6,24.69
AR,5492,Level 2 Intraocular Procedures,618.0,2757.36677233427,62106.0,27.1,90.6,24.69
AR,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",65.0,1424.82701492537,62106.0,27.1,90.6,24.69
AR,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",11.0,1372.4809090909,62106.0,27.1,90.6,24.69
AR,5503,"Level 3 Extraocular, Repair, and Plastic Eye Procedures",198.0,1490.25438679246,62106.0,27.1,90.6,24.69
AR,5504,"Level 4 Extraocular, Repair, and Plastic Eye Procedures",22.0,2485.61,62106.0,27.1,90.6,24.69
AZ,5491,Level 1 Intraocular Procedures,14.0,1864.75999999999,81486.0,34.7,89.7,25.88
AZ,5491,Level 1 Intraocular Procedures,18.0,1686.05772727272,81486.0,34.7,89.7,25.88
AZ,5491,Level 1 Intraocular Procedures,14.0,1733.33,81486.0,34.7,89.7,25.88
